3389,1775996458571,dog,0.715,"[190,79,251,145]"
3394,1775996458772,dog,0.756,"[191,79,251,145]"
3419,1775996459829,horse,0.672,"[137,31,193,105]"
3447,1775996460976,horse,0.741,"[124,21,196,110]"
3447,1775996460976,dog,0.615,"[192,73,250,146]"
3456,1775996461369,horse,0.810,"[123,21,197,109]"
3456,1775996461369,dog,0.585,"[192,75,250,146]"
3465,1775996461746,dog,0.588,"[192,75,250,147]"
3479,1775996462310,dog,0.783,"[193,76,250,146]"
3500,1775996463188,cow,0.613,"[71,6,283,178]"
3503,1775996463314,cow,0.612,"[71,6,283,178]"
3514,1775996463802,cow,0.689,"[74,12,283,178]"
3548,1775996465288,dog,0.823,"[192,76,250,147]"
3557,1775996465560,dog,0.643,"[192,91,263,145]"
3557,1775996465560,cow,0.611,"[128,23,200,111]"
3557,1775996465560,cow,0.580,"[129,24,199,84]"
3564,1775996465856,dog,0.755,"[161,33,252,146]"
3564,1775996465856,dog,0.735,"[193,83,252,145]"
3569,1775996466088,person,0.672,"[71,16,279,177]"
3579,1775996466482,horse,0.841,"[62,6,290,178]"
3594,1775996467110,horse,0.595,"[121,128,242,178]"
143,1775998395818,bird,0.927,"[113,19,198,153]"
147,1775998395975,bird,0.882,"[105,14,206,152]"
148,1775998396016,bird,0.906,"[104,14,206,153]"
167,1775998396840,bird,0.910,"[112,19,201,153]"
163,1775998396646,bird,0.917,"[113,12,201,153]"
169,1775998396890,bird,0.719,"[112,17,209,154]"
174,1775998397116,bird,0.926,"[80,14,252,153]"
176,1775998397201,bird,0.878,"[81,14,253,154]"
185,1775998397562,bird,0.773,"[108,35,173,153]"
186,1775998397609,bird,0.815,"[108,36,172,153]"
201,1775998398223,dog,0.594,"[106,40,174,153]"
203,1775998398346,bird,0.620,"[106,40,174,152]"
216,1775998398848,bird,0.778,"[108,41,174,152]"
220,1775998399037,bird,0.608,"[108,38,174,152]"
221,1775998399063,bird,0.771,"[108,38,174,152]"
